Log10scanRate,Log10kf,Log10keq,peak flux,half peak potential,half peak transfer coefficient
-3.0,3.0,-7.166852888087215,-0.04127007629833039,-2.5000000000002744,-0.3486065002839819
-3.0,4.0,-7.166852888087215,-0.0837750614380963,-4.130000000000241,-0.2947668194322946
-3.0,5.0,-7.166852888087215,-0.16757602668658916,-6.070000000000197,-0.2351847416925207
-3.0,6.0,-7.166852888087215,-0.2952864969257391,-8.14000000000018,-0.17435580126623434
-3.0,1.1999999999996949,-7.166852888087215,-0.01451576552067901,-0.660000000000306,-0.46795849860137256
-3.0,2.199999999999969,-7.166852888087215,-0.024406127358495098,-1.480000000000296,-0.4057642588781802
-3.0,3.199999999999996,-7.166852888087215,-0.047453063439714865,-2.800000000000268,-0.3366294351776528
-3.0,4.199999999999999,-7.166852888087215,-0.09654631152663967,-4.495000000000231,-0.28394819236122687
-3.0,5.2,-7.166852888087215,-0.19071923672517746,-6.495000000000188,-0.2216079969662535
-3.0,0.3999999999983436,-7.166852888087215,-0.011036842650132252,-0.3100000000003057,-0.4883199313649675
-3.0,1.4000000000000725,-7.166852888087215,-0.01586081382790195,-0.7850000000003061,-0.4588586216791764
-3.0,2.4000000000000727,-7.166852888087215,-0.027641877062818145,-1.7050000000002912,-0.39059773595044767
-3.0,3.4000000000000035,-7.166852888087215,-0.05465091448302251,-3.1150000000002613,-0.3254996211200204
-3.0,4.4,-7.166852888087215,-0.1111534554409376,-4.870000000000224,-0.2727387064315026
-3.0,5.4,-7.166852888087215,-0.21568890779358135,-6.92000000000018,-0.20844677649195287
-3.0,0.5999999999961848,-7.166852888087215,-0.011680167249100494,-0.3800000000003058,-0.4847091500684537
-3.0,1.5999999999994576,-7.166852888087215,-0.01746917260715727,-0.9300000000003062,-0.4474983340270885
-3.0,2.600000000000003,-7.166852888087215,-0.0314694322421745,-1.9500000000002857,-0.37584804347818324
-3.0,3.600000000000003,-7.166852888087215,-0.06300044111384487,-3.4400000000002544,-0.31524793501274356
-3.0,4.6000000000000005,-7.166852888087215,-0.12777747925949318,-5.255000000000216,-0.26103189714391406
-3.0,5.6000000000000005,-7.166852888087215,-0.24194482688599694,-7.34500000000017,-0.1957594965357809
-3.0,0.7999999999998669,-7.166852888087215,-0.012457273156147732,-0.4600000000003059,-0.4804541431250615
-3.0,1.799999999999867,-7.166852888087215,-0.019389819646403145,-1.0900000000003045,-0.43533269223034327
-3.0,2.8000000000000047,-7.166852888087215,-0.035979000038287835,-2.2200000000002804,-0.3611783297565096
-3.0,3.7999999999999976,-7.166852888087215,-0.07265308960490198,-3.780000000000247,-0.30497542542869455
-3.0,4.800000000000001,-7.166852888087215,-0.14656476567693846,-5.660000000000207,-0.24815227439048823
-3.0,5.800000000000001,-7.166852888087215,-0.26875341098651595,-7.755000000000162,-0.18429503810561915
-3.0,-2.0,-7.0,-0.010176042990044092,-0.015000000000305578,-0.4945709729468457
-3.0,-1.8000000006743975,-7.0,-0.010232160584049157,-0.020000000000305582,-0.4946948208879045
-3.0,-1.600000000261,-7.0,-0.010302428024777124,-0.03000000000030558,-0.4939044245591797
-3.0,-1.3999999995129109,-7.0,-0.01039030350689435,-0.03500000000030558,-0.4947756937426109
-3.0,-1.200000000330522,-7.0,-0.0105000346900896,-0.05000000000030557,-0.49364979389151764
-3.0,-1.0,-7.0,-0.010636812605852426,-0.060000000000305566,-0.49438154991152694
-3.0,-0.8000000001263549,-7.0,-0.010806944437488114,-0.07500000000030557,-0.494592340274433
-3.0,-0.5999999999152085,-7.0,-0.011018043650365909,-0.0950000000003056,-0.49441604545577983
